sample,cpu_usage,active_workers
1225,100,5
1226,100,5
1227,100,5
1228,100,5
1229,100,5
1230,100,5
1231,100,5
1232,100,5
1233,100,5
1234,100,5
1235,100,5
1236,100,5
1237,100,5
1238,100,5
1239,100,5
1240,100,5
1241,100,5
1242,100,5
1243,100,5
1244,100,5
1245,100,5
1246,100,5
1247,100,5
1248,100,5
1249,100,5
1250,100,5
1251,100,5
1252,100,5
1253,100,5
1254,100,5
1255,100,5
1256,100,5
1257,100,5
1258,100,5
1259,100,5
1260,100,5
1261,100,5
1262,100,5
1263,75,5
1264,75,5
1265,75,5
1266,75,5
1267,75,5
1268,75,5
1269,75,5
1270,75,5
1271,75,5
1272,75,5
1273,75,5
1274,75,5
1275,75,5
1276,75,5
1277,75,5
1278,75,5
1279,75,5
1280,75,5
1281,75,5
1282,75,5
1283,100,5
1284,100,5
1285,100,5
1286,100,5
1287,100,5
1288,100,5
1289,100,5
1290,100,5
1291,100,5
1292,100,5
1293,100,5
1294,100,5
1295,100,5
1296,100,5
1297,100,5
1298,100,5
1299,100,5
1300,100,5
1301,100,5
1302,100,5
1303,100,5
1304,100,5
1305,100,5
1306,100,5
1307,100,5
1308,100,5
1309,100,5
1310,100,5
1311,100,5
1312,100,5
1313,100,5
1314,100,5
1315,100,5
1316,100,5
1317,100,5
1318,100,5
1319,100,5
1320,100,5
1321,100,5
1322,100,5
1323,100,5
1324,100,5
1325,100,5
1326,100,5
1327,100,5
1328,100,5
1329,100,5
1330,100,5
1331,100,5
1332,100,5
1333,100,5
1334,100,5
1335,100,5
1336,100,5
1337,100,5
1338,100,5
1339,100,5
1340,100,5
1341,100,5
1342,100,5
1343,100,5
1344,100,5
1345,100,5
1346,100,5
1347,100,5
1348,100,5
1349,100,5
1350,100,5
1351,100,5
1352,100,5
1353,100,5
1354,100,5
1355,100,5
1356,100,5
1357,100,5
1358,100,5
1359,100,5
1360,100,5
1361,100,5
1362,75,5
1363,75,5
1364,75,5
1365,75,5
1366,75,5
1367,75,5
1368,75,5
1369,75,5
1370,75,5
1371,75,5
1372,75,5
1373,75,5
1374,75,5
1375,75,5
1376,75,5
1377,75,5
1378,75,5
1379,75,5
1380,75,5
1381,75,5
1382,75,5
1383,75,5
1384,75,5
1385,75,5
1386,75,5
1387,75,5
1388,75,5
1389,75,5
1390,75,5
1391,75,5
1392,75,5
1393,75,5
1394,75,5
1395,75,5
1396,75,5
1397,75,5
1398,75,5
1399,75,5
1400,75,5
1401,75,5
1402,100,5
1403,100,5
1404,100,5
1405,100,5
1406,100,5
1407,100,5
1408,100,5
1409,100,5
1410,100,5
1411,100,5
1412,100,5
1413,100,5
1414,100,5
1415,100,5
1416,100,5
1417,100,5
1418,100,5
1419,100,5
1420,100,5
1421,100,5
1422,75,5
1423,75,5
1424,75,5
1425,75,5
1426,75,5
1427,75,5
1428,75,5
1429,75,5
1430,75,5
1431,75,5
1432,75,5
1433,75,5
1434,75,5
1435,75,5
1436,75,5
1437,75,5
1438,75,5
1439,75,5
1440,75,5
1441,100,5
1442,100,5
1443,100,5
1444,100,5
1445,100,5
1446,100,5
1447,100,5
1448,100,5
1449,100,5
1450,100,5
1451,100,5
1452,100,5
1453,100,5
1454,100,5
1455,100,5
1456,100,5
1457,100,5
1458,100,5
1459,100,5
1460,100,5
1461,100,5
1462,100,5
1463,100,5
1464,100,5
1465,100,5
1466,100,5
1467,100,5
1468,100,5
1469,100,5
1470,100,5
1471,100,5
1472,100,5
1473,100,5
1474,100,5
1475,100,5
1476,100,5
1477,100,5
1478,100,5
1479,100,5
1480,50,5
1481,50,5
1482,50,5
1483,50,5
1484,50,5
1485,50,5
1486,50,5
1487,50,5
1488,50,5
1489,50,5
1490,50,5
1491,50,5
1492,50,5
1493,50,5
1494,50,5
1495,50,5
1496,50,5
1497,50,5
1498,50,5
1499,50,5
1500,70,2
1501,70,2
1502,70,2
1503,70,2
1504,70,2
1505,70,2
1506,70,2
1507,70,2
1508,70,2
1509,70,2
1510,70,2
1511,70,2
1512,70,2
1513,70,2
1514,70,2
1515,70,2
1516,70,2
1517,70,2
1518,70,2
1519,80,3
1520,80,3
1521,80,3
1522,80,3
1523,80,3
1524,80,3
1525,80,3
1526,80,3
1527,80,3
1528,80,3
1529,80,3
1530,80,3
1531,80,3
1532,80,3
1533,80,3
1534,80,3
1535,80,3
1536,80,3
1537,80,3
1538,80,3
1539,100,5
1540,100,5
1541,100,5
1542,100,5
1543,100,5
1544,100,5
1545,100,5
1546,100,5
1547,100,5
1548,100,5
1549,100,5
1550,100,5
1551,100,5
1552,100,5
1553,100,5
1554,100,5
1555,100,5
1556,100,5
1557,100,5
1558,100,5
1559,100,5
1560,100,5
1561,100,5
1562,100,5
1563,100,5
1564,100,5
1565,100,5
1566,100,5
1567,100,5
1568,100,5
1569,100,5
1570,100,5
1571,100,5
1572,100,5
1573,100,5
1574,100,5
1575,100,5
1576,100,5
1577,100,5
1578,100,5
1579,80,3
1580,80,3
1581,80,3
1582,80,3
1583,80,3
1584,80,3
1585,80,3
1586,80,3
1587,80,3
1588,80,3
1589,80,3
1590,80,3
1591,80,3
1592,80,3
1593,80,3
1594,80,3
1595,80,3
1596,80,3
1597,80,3
1598,80,3
1599,90,4
1600,90,4
1601,90,4
1602,90,4
1603,90,4
1604,90,4
1605,90,4
1606,90,4
1607,90,4
1608,90,4
1609,90,4
1610,90,4
1611,90,4
1612,90,4
1613,90,4
1614,90,4
1615,90,4
1616,90,4
1617,90,4
1618,75,5
1619,75,5
1620,75,5
1621,75,5
1622,75,5
1623,75,5
1624,75,5
1625,75,5
1626,75,5
1627,75,5
1628,75,5
1629,75,5
1630,75,5
1631,75,5
1632,75,5
1633,75,5
1634,75,5
1635,75,5
1636,75,5
1637,75,5
1638,75,5
1639,75,5
1640,75,5
1641,75,5
1642,75,5
1643,75,5
1644,75,5
1645,75,5
1646,75,5
1647,75,5
1648,75,5
1649,75,5
1650,75,5
1651,75,5
1652,75,5
1653,75,5
1654,75,5
1655,75,5
1656,75,5
1657,75,5
1658,100,5
1659,100,5
1660,100,5
1661,100,5
1662,100,5
1663,100,5
1664,100,5
1665,100,5
1666,100,5
1667,100,5
1668,100,5
1669,100,5
1670,100,5
1671,100,5
1672,100,5
1673,100,5
1674,100,5
1675,100,5
1676,100,5
1677,90,4
1678,90,4
1679,90,4
1680,90,4
1681,90,4
1682,90,4
1683,90,4
1684,90,4
1685,90,4
1686,90,4
1687,90,4
1688,90,4
1689,90,4
1690,90,4
1691,90,4
1692,90,4
1693,90,4
1694,90,4
1695,90,4
1696,90,4
1697,100,5
1698,100,5
1699,100,5
1700,100,5
1701,100,5
1702,100,5
1703,100,5
1704,100,5
1705,100,5
1706,100,5
1707,100,5
1708,100,5
1709,100,5
1710,100,5
1711,100,5
1712,100,5
1713,100,5
1714,100,5
1715,100,5
1716,100,5
1717,75,5
1718,75,5
1719,75,5
1720,75,5
1721,75,5
1722,75,5
1723,75,5
1724,75,5
1725,75,5
1726,75,5
1727,75,5
1728,75,5
1729,75,5
1730,75,5
1731,75,5
1732,75,5
1733,75,5
1734,75,5
1735,75,5
1736,75,5
1737,75,5
1738,75,5
1739,75,5
1740,75,5
1741,75,5
1742,75,5
1743,75,5
1744,75,5
1745,75,5
1746,75,5
1747,75,5
1748,75,5
1749,75,5
1750,75,5
1751,75,5
1752,75,5
1753,75,5
1754,75,5
1755,75,5
1756,50,5
1757,50,5
1758,50,5
1759,50,5
1760,50,5
1761,50,5
1762,50,5
1763,50,5
1764,50,5
1765,50,5
1766,50,5
1767,50,5
1768,50,5
1769,50,5
1770,50,5
1771,50,5
1772,50,5
1773,50,5
1774,50,5
1775,50,5
1776,75,5
1777,75,5
1778,75,5
1779,75,5
1780,75,5
1781,75,5
1782,75,5
1783,75,5
1784,75,5
1785,75,5
1786,75,5
1787,75,5
1788,75,5
1789,75,5
1790,75,5
1791,75,5
1792,75,5
1793,75,5
1794,75,5
1795,75,5
1796,100,5
1797,100,5
1798,100,5
1799,100,5
1800,100,5
1801,100,5
1802,100,5
1803,100,5
1804,100,5
1805,100,5
1806,100,5
1807,100,5
1808,100,5
1809,100,5
1810,100,5
1811,100,5
1812,100,5
1813,100,5
1814,100,5
1815,100,5
1816,90,4
1817,90,4
1818,90,4
1819,90,4
1820,90,4
1821,90,4
1822,90,4
1823,90,4
1824,90,4
1825,90,4
1826,90,4
1827,90,4
1828,90,4
1829,90,4
1830,90,4
1831,90,4
1832,90,4
1833,90,4
1834,90,4
1835,90,4
1836,90,4
1837,90,4
1838,90,4
1839,90,4
1840,90,4
1841,90,4
1842,90,4
1843,90,4
1844,90,4
1845,90,4
1846,90,4
1847,90,4
1848,90,4
1849,90,4
1850,90,4
1851,90,4
1852,90,4
1853,90,4
1854,90,4
1855,100,5
1856,100,5
1857,100,5
1858,100,5
1859,100,5
1860,100,5
1861,100,5
1862,100,5
1863,100,5
1864,100,5
1865,100,5
1866,100,5
1867,100,5
1868,100,5
1869,100,5
1870,100,5
1871,100,5
1872,100,5
1873,100,5
1874,100,5
1875,100,5
1876,100,5
1877,100,5
1878,100,5
1879,100,5
1880,100,5
1881,100,5
1882,100,5
1883,100,5
1884,100,5
1885,100,5
1886,100,5
1887,100,5
1888,100,5
1889,100,5
1890,100,5
1891,100,5
1892,100,5
1893,100,5
1894,90,4
1895,90,4
1896,90,4
1897,90,4
1898,90,4
1899,90,4
1900,90,4
1901,90,4
1902,90,4
1903,90,4
1904,90,4
1905,90,4
1906,90,4
1907,90,4
1908,90,4
1909,90,4
1910,90,4
1911,90,4
1912,90,4
1913,90,4
1914,70,2
1915,70,2
1916,70,2
1917,70,2
1918,70,2
1919,70,2
1920,70,2
1921,70,2
1922,70,2
1923,70,2
1924,70,2
1925,70,2
1926,70,2
1927,70,2
1928,70,2
1929,70,2
1930,70,2
1931,70,2
1932,70,2
1933,70,2
1934,70,2
1935,70,2
1936,70,2
1937,70,2
1938,70,2
1939,70,2
1940,70,2
1941,70,2
1942,70,2
1943,70,2
1944,70,2
1945,70,2
1946,70,2
1947,70,2
1948,70,2
1949,70,2
1950,70,2
1951,70,2
1952,70,2
1953,90,4
1954,90,4
1955,90,4
1956,90,4
1957,90,4
1958,90,4
1959,90,4
1960,90,4
1961,90,4
1962,90,4
1963,90,4
1964,90,4
1965,90,4
1966,90,4
1967,90,4
1968,90,4
1969,90,4
1970,90,4
1971,90,4
1972,90,4
1973,40,4
1974,40,4
1975,40,4
1976,40,4
1977,40,4
1978,40,4
1979,40,4
1980,40,4
1981,40,4
1982,40,4
1983,40,4
1984,40,4
1985,40,4
1986,40,4
1987,40,4
1988,40,4
1989,40,4
1990,40,4
1991,40,4
1992,40,4
1993,80,3
1994,80,3
1995,80,3
1996,80,3
1997,80,3
1998,80,3
1999,80,3
2000,80,3
2001,80,3
2002,80,3
2003,80,3
2004,80,3
2005,80,3
2006,80,3
2007,80,3
2008,80,3
2009,80,3
2010,80,3
2011,80,3
2012,90,4
2013,90,4
2014,90,4
2015,90,4
2016,90,4
2017,90,4
2018,90,4
2019,90,4
2020,90,4
2021,90,4
2022,90,4
2023,90,4
2024,90,4
2025,90,4
2026,90,4
2027,90,4
2028,90,4
2029,90,4
2030,90,4
2031,90,4
2032,80,3
2033,80,3
2034,80,3
2035,80,3
2036,80,3
2037,80,3
2038,80,3
2039,80,3
2040,80,3
2041,80,3
2042,80,3
2043,80,3
2044,80,3
2045,80,3
2046,80,3
2047,80,3
2048,80,3
2049,80,3
2050,80,3
2051,80,3
2052,70,2
2053,70,2
2054,70,2
2055,70,2
2056,70,2
2057,70,2
2058,70,2
2059,70,2
2060,70,2
2061,70,2
2062,70,2
2063,70,2
2064,70,2
2065,70,2
2066,70,2
2067,70,2
2068,70,2
2069,70,2
2070,70,2
2071,65,4
2072,65,4
2073,65,4
2074,65,4
2075,65,4
2076,65,4
2077,65,4
2078,65,4
2079,65,4
2080,65,4
2081,65,4
2082,65,4
2083,65,4
2084,65,4
2085,65,4
2086,65,4
2087,65,4
2088,65,4
2089,65,4
2090,65,4
2091,65,4
2092,65,4
2093,65,4
2094,65,4
2095,65,4
2096,65,4
2097,65,4
2098,65,4
2099,65,4
2100,65,4
2101,65,4
2102,65,4
2103,65,4
2104,65,4
2105,65,4
2106,65,4
2107,65,4
2108,65,4
2109,65,4
2110,65,4
2111,65,4
2112,65,4
2113,65,4
2114,65,4
2115,65,4
2116,65,4
2117,65,4
2118,65,4
2119,65,4
2120,65,4
2121,65,4
2122,65,4
2123,65,4
2124,65,4
2125,65,4
2126,65,4
2127,65,4
2128,65,4
2129,65,4
2130,40,4
2131,40,4
2132,40,4
2133,40,4
